origin,country,iso3c,n_docs,pos_total,neg_total,net_total,pos_mean_per_doc,neg_mean_per_doc,net_mean_per_doc
CAN,Canada,CAN,104,1020.1636920160887,366.81248032533534,579.9887156256863,9.809266269385468,3.527043080051302,5.576814573323905
CAN,United States,USA,17,73.4442284668224,25.756118444124354,42.53688633387317,4.320248733342494,1.5150657908308445,2.5021697843454804
CAN,Ukraine,UKR,32,392.03037305536884,298.0320815670381,34.39187517492306,12.250949157980273,9.31350254896994,1.0747460992163451
CAN,Venezuela,VEN,5,26.269453998911303,0,26.269453998911303,5.25389079978226,0,5.25389079978226
CAN,Hong Kong SAR China,HKG,4,22.2820765227838,0,22.2820765227838,5.570519130695949,0,5.570519130695949
CAN,Myanmar (Burma),MMR,2,19.449286974338932,0,19.449286974338932,9.724643487169466,0,9.724643487169466
CAN,Mexico,MEX,6,19.0711946659444,0,19.0711946659444,3.178532444324067,0,3.178532444324067
CAN,Pakistan,PAK,1,17.10905754594483,0,17.10905754594483,17.10905754594483,0,17.10905754594483
CAN,South Korea,KOR,4,24.829288528485872,9.227295973317684,13.756533360504651,6.207322132121468,2.306823993329421,3.439133340126163
CAN,Iraq,IRQ,1,17.309938256308488,3.0243817644968085,13.680680138912317,17.309938256308488,3.0243817644968085,13.680680138912317
CAN,United Kingdom,GBR,3,13.197582601348625,0,13.197582601348625,4.399194200449542,0,4.399194200449542
CAN,France,FRA,2,18.6480305156105,5.933250641871773,11.528129745364371,9.32401525780525,2.9666253209358864,5.7640648726821855
CAN,Brunei,BRN,1,11.291467772005502,0,11.291467772005502,11.291467772005502,0,11.291467772005502
CAN,Georgia,GEO,2,19.999429303840994,9.468458030134572,8.637279667679508,9.999714651920497,4.734229015067286,4.318639833839754
CAN,Australia,AUS,5,15.656163375007772,6.202914208820875,8.212666324422722,3.1312326750015544,1.240582841764175,1.6425332648845439
CAN,Switzerland,CHE,2,7.888007654573724,0,7.888007654573724,3.944003827286862,0,3.944003827286862
CAN,Albania,ALB,2,6.548233309088727,0,6.548233309088727,3.2741166545443634,0,3.2741166545443634
CAN,Argentina,ARG,2,6.548233309088727,0,6.548233309088727,3.2741166545443634,0,3.2741166545443634
CAN,Congo - Brazzaville,COG,1,5.915232136369095,0,5.915232136369095,5.915232136369095,0,5.915232136369095
CAN,Zambia,ZMB,1,5.781700743744572,0,5.781700743744572,5.781700743744572,0,5.781700743744572
CAN,Sudan,SDN,2,8.786427861755804,3.0243817644968085,5.157169744359633,4.393213930877902,1.5121908822484043,2.578584872179817
CAN,Haiti,HTI,2,4.816619847700985,0,4.816619847700985,2.4083099238504926,0,2.4083099238504926
CAN,Bangladesh,BGD,1,4.546956280751882,0,4.546956280751882,4.546956280751882,0,4.546956280751882
CAN,Armenia,ARM,1,3.8716796248840124,0,3.8716796248840124,3.8716796248840124,0,3.8716796248840124
CAN,Sweden,SWE,1,3.8716796248840124,0,3.8716796248840124,3.8716796248840124,0,3.8716796248840124
CAN,Moldova,MDA,4,23.50730242482533,16.662770443316408,3.511977892845639,5.876825606206332,4.165692610829102,0.8779944732114098
CAN,Bosnia & Herzegovina,BIH,1,3.178532444324067,0,3.178532444324067,3.178532444324067,0,3.178532444324067
CAN,India,IND,1,3.178532444324067,0,3.178532444324067,3.178532444324067,0,3.178532444324067
CAN,Estonia,EST,1,3.0243817644968085,0,3.0243817644968085,3.0243817644968085,0,3.0243817644968085
CAN,Belarus,BLR,2,11.066540098897791,6.721708002236042,3.0004904962145402,5.5332700494488956,3.360854001118021,1.5002452481072701
CAN,Taiwan,TWN,1,2.890850371872286,0,2.890850371872286,2.890850371872286,0,2.890850371872286
CAN,Italy,ITA,1,2.667706820558076,0,2.667706820558076,2.667706820558076,0,2.667706820558076
CAN,Kazakhstan,KAZ,1,2.667706820558076,0,2.667706820558076,2.667706820558076,0,2.667706820558076
CAN,Palestinian Territories,PSE,1,1.925769475828699,0,1.925769475828699,1.925769475828699,0,1.925769475828699
CAN,Dominican Republic,DOM,1,1.879249460193806,0,1.879249460193806,1.879249460193806,0,1.879249460193806
CAN,Netherlands,NLD,1,1.879249460193806,0,1.879249460193806,1.879249460193806,0,1.879249460193806
CAN,New Zealand,NZL,1,1.879249460193806,0,1.879249460193806,1.879249460193806,0,1.879249460193806
CAN,Uruguay,URY,1,1.879249460193806,0,1.879249460193806,1.879249460193806,0,1.879249460193806
CAN,Germany,DEU,1,2.890850371872286,2.5723966407537513,-0.19602559703221534,2.890850371872286,2.5723966407537513,-0.19602559703221534
CAN,Ecuador,ECU,1,3.178532444324067,3.178532444324067,-0.6357064888648134,3.178532444324067,3.178532444324067,-0.6357064888648134
CAN,Azerbaijan,AZE,1,3.178532444324067,3.5839975524322316,-1.1222646185946106,3.178532444324067,3.5839975524322316,-1.1222646185946106
CAN,Czechia,CZE,1,0,2.5723966407537513,-3.0868759689045016,0,2.5723966407537513,-3.0868759689045016
CAN,Costa Rica,CRI,1,0,3.360854001118021,-4.033024801341625,0,3.360854001118021,-4.033024801341625
CAN,Brazil,BRA,1,0,3.5839975524322316,-4.300797062918678,0,3.5839975524322316,-4.300797062918678
CAN,Afghanistan,AFG,3,8.832947877390698,12.433999294608448,-6.087851276139439,2.9443159591302326,4.144666431536149,-2.0292837587131465
CAN,Lebanon,LBN,3,6.875920716154206,14.711162273146458,-10.777474011621543,2.291973572051402,4.903720757715486,-3.592491337207181
CAN,North Korea,PRK,1,8.400617400133216,24.880319073604934,-21.455765488192704,8.400617400133216,24.880319073604934,-21.455765488192704
CAN,China,CHN,2,0,18.14629058698085,-21.775548704377023,0,9.073145293490425,-10.887774352188512
CAN,Iran,IRN,5,2.890850371872286,25.820742911981622,-28.094041122505658,0.5781700743744572,5.164148582396324,-5.618808224501132
CAN,Syria,SYR,4,4.770099832066093,38.507682344880394,-41.43911898179037,1.1925249580165231,9.626920586220097,-10.359779745447593
CAN,Israel,ISR,11,13.525270008414104,83.6722822686873,-86.88146871401065,1.2295700007649186,7.606571115335209,-7.898315337637332
CAN,Russia,RUS,28,93.50790859198511,510.52034680285385,-519.1165075714395,3.3395681639994685,18.232869528673355,-18.539875270408555
